Job_Description,CV_Text,Label
"Job Category: מסעדנות, Company: TechCorp, Salary: 76 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4103, Address: Tel Aviv, Search Radius: 11km, Skills: Python, English, Soft Skills: Team player, Fast learner. Looking for עיצוב וקריאייטיב job.",0
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 74 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 9309, Address: Tel Aviv, Search Radius: 28km, Skills: Excel, SAP, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",1
"Job Category: מסעדנות, Company: TechCorp, Salary: 68 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3429, Address: Tel Aviv, Search Radius: 29km, Skills: Java, English, Soft Skills: Team player, Fast learner. Looking for מסעדנות job.",1
"Job Category: מסעדנות, Company: TechCorp, Salary: 34 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3238, Address: Tel Aviv, Search Radius: 10km, Skills: Python, Java, Soft Skills: Team player, Fast learner. Looking for בניין וייצור job.",0
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 42 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3666, Address: Tel Aviv, Search Radius: 8km, Skills: Java, Python, Soft Skills: Team player, Fast learner. Looking for רפואה ורווחה job.",1
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 74 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 9528, Address: Tel Aviv, Search Radius: 13km, Skills: SAP, Driving License, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",1
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 41 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5306, Address: Tel Aviv, Search Radius: 6km, Skills: SAP, Excel, Soft Skills: Team player, Fast learner. Looking for עיצוב וקריאייטיב job.",0
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 54 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 9196, Address: Tel Aviv, Search Radius: 7km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for רפואה ורווחה job.",1
"Job Category: אפסנאות ולוגיסטיקה, Company: TechCorp, Salary: 50 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4871, Address: Tel Aviv, Search Radius: 26km, Skills: Python, SAP, Soft Skills: Team player, Fast learner. Looking for הפקה ואירועים job.",0
"Job Category: בניין וייצור, Company: TechCorp, Salary: 79 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5069, Address: Tel Aviv, Search Radius: 23km, Skills: SAP, English, Soft Skills: Team player, Fast learner. Looking for הפקה ואירועים job.",0
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 80 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 9040, Address: Tel Aviv, Search Radius: 18km, Skills: English, Java, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",1
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 64 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5160, Address: Tel Aviv, Search Radius: 22km, Skills: Java, English, Soft Skills: Team player, Fast learner. Looking for מכירות ואופנה job.",0
"Job Category: בעלי חיים, Company: TechCorp, Salary: 72 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8118, Address: Tel Aviv, Search Radius: 18km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for עיצוב וקריאייטיב job.",0
"Job Category: אפסנאות ולוגיסטיקה, Company: TechCorp, Salary: 74 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8377, Address: Tel Aviv, Search Radius: 22km, Skills: Java, Driving License, Soft Skills: Team player, Fast learner. Looking for אפסנאות ולוגיסטיקה job.",1
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 70 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3913, Address: Tel Aviv, Search Radius: 18km, Skills: English, Python, Soft Skills: Team player, Fast learner. Looking for אחזקה job.",0
"Job Category: אחזקה, Company: TechCorp, Salary: 50 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4664, Address: Tel Aviv, Search Radius: 30km, Skills: Excel, Driving License, Soft Skills: Team player, Fast learner. Looking for מסעדנות job.",0
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 61 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 9270, Address: Tel Aviv, Search Radius: 11km, Skills: Python, English, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",1
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 49 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2648, Address: Tel Aviv, Search Radius: 25km, Skills: Java, SAP, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",0
"Job Category: מכירות ואופנה, Company: TechCorp, Salary: 48 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7288, Address: Tel Aviv, Search Radius: 15km, Skills: Python, Excel, Soft Skills: Team player, Fast learner. Looking for אפסנאות ולוגיסטיקה job.",0
"Job Category: בעלי חיים, Company: TechCorp, Salary: 80 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5607, Address: Tel Aviv, Search Radius: 24km, Skills: Python, Excel, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",1
"Job Category: בעלי חיים, Company: TechCorp, Salary: 45 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3663, Address: Tel Aviv, Search Radius: 20km, Skills: English, Excel, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",0
"Job Category: שירות לקוחות, Company: TechCorp, Salary: 57 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5478, Address: Tel Aviv, Search Radius: 6km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for אבטחה וביטחון job.",0
"Job Category: הפקה ואירועים, Company: TechCorp, Salary: 47 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4644, Address: Tel Aviv, Search Radius: 19km, Skills: Java, Driving License, Soft Skills: Team player, Fast learner. Looking for עיצוב וקריאייטיב job.",0
"Job Category: הפקה ואירועים, Company: TechCorp, Salary: 54 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3930, Address: Tel Aviv, Search Radius: 23km, Skills: Java, English, Soft Skills: Team player, Fast learner. Looking for שירות לקוחות job.",0
"Job Category: בניין וייצור, Company: TechCorp, Salary: 41 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4432, Address: Tel Aviv, Search Radius: 12km, Skills: English, SAP, Soft Skills: Team player, Fast learner. Looking for בניין וייצור job.",1
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 70 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6939, Address: Tel Aviv, Search Radius: 6km, Skills: Python, English, Soft Skills: Team player, Fast learner. Looking for מכירות ואופנה job.",0
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 44 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7662, Address: Tel Aviv, Search Radius: 9km, Skills: Java, Python, Soft Skills: Team player, Fast learner. Looking for שירות לקוחות job.",0
"Job Category: עיצוב וקריאייטיב, Company: TechCorp, Salary: 42 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5869, Address: Tel Aviv, Search Radius: 7km, Skills: SAP, Driving License, Soft Skills: Team player, Fast learner. Looking for עיצוב וקריאייטיב job.",1
"Job Category: אפסנאות ולוגיסטיקה, Company: TechCorp, Salary: 48 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2683, Address: Tel Aviv, Search Radius: 23km, Skills: Driving License, Excel, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",0
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 56 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7704, Address: Tel Aviv, Search Radius: 10km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",0
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 56 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3854, Address: Tel Aviv, Search Radius: 23km, Skills: Java, English, Soft Skills: Team player, Fast learner. Looking for רפואה ורווחה job.",0
"Job Category: אחזקה, Company: TechCorp, Salary: 63 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 9628, Address: Tel Aviv, Search Radius: 14km, Skills: Java, Driving License, Soft Skills: Team player, Fast learner. Looking for הפקה ואירועים job.",0
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 70 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5282, Address: Tel Aviv, Search Radius: 14km, Skills: Excel, English, Soft Skills: Team player, Fast learner. Looking for בניין וייצור job.",0
"Job Category: בעלי חיים, Company: TechCorp, Salary: 33 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8582, Address: Tel Aviv, Search Radius: 28km, Skills: Driving License, English, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",1
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 67 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7966, Address: Tel Aviv, Search Radius: 21km, Skills: Excel, Python, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",1
"Job Category: מסעדנות, Company: TechCorp, Salary: 45 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6407, Address: Tel Aviv, Search Radius: 20km, Skills: Excel, Python, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",0
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 73 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4053, Address: Tel Aviv, Search Radius: 9km, Skills: Python, English, Soft Skills: Team player, Fast learner. Looking for אבטחה וביטחון job.",1
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 57 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 1975, Address: Tel Aviv, Search Radius: 7km, Skills: Excel, SAP, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",0
"Job Category: אפסנאות ולוגיסטיקה, Company: TechCorp, Salary: 45 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6848, Address: Tel Aviv, Search Radius: 14km, Skills: English, Python, Soft Skills: Team player, Fast learner. Looking for רפואה ורווחה job.",0
"Job Category: אחזקה, Company: TechCorp, Salary: 35 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6719, Address: Tel Aviv, Search Radius: 28km, Skills: English, Python, Soft Skills: Team player, Fast learner. Looking for אחזקה job.",1
"Job Category: אפסנאות ולוגיסטיקה, Company: TechCorp, Salary: 53 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5079, Address: Tel Aviv, Search Radius: 7km, Skills: Driving License, English, Soft Skills: Team player, Fast learner. Looking for אפסנאות ולוגיסטיקה job.",1
"Job Category: שירות לקוחות, Company: TechCorp, Salary: 30 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8829, Address: Tel Aviv, Search Radius: 20km, Skills: SAP, Java, Soft Skills: Team player, Fast learner. Looking for מסעדנות job.",0
"Job Category: עיצוב וקריאייטיב, Company: TechCorp, Salary: 46 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7720, Address: Tel Aviv, Search Radius: 24km, Skills: English, Java, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",0
"Job Category: בניין וייצור, Company: TechCorp, Salary: 50 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3163, Address: Tel Aviv, Search Radius: 17km, Skills: English, Excel, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",0
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 77 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4483, Address: Tel Aviv, Search Radius: 14km, Skills: Driving License, Excel, Soft Skills: Team player, Fast learner. Looking for אבטחה וביטחון job.",1
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 32 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5271, Address: Tel Aviv, Search Radius: 5km, Skills: SAP, Driving License, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",1
"Job Category: בעלי חיים, Company: TechCorp, Salary: 38 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3732, Address: Tel Aviv, Search Radius: 25km, Skills: Driving License, Java, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",1
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 60 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2525, Address: Tel Aviv, Search Radius: 28km, Skills: Java, Python, Soft Skills: Team player, Fast learner. Looking for מכירות ואופנה job.",0
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 60 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3287, Address: Tel Aviv, Search Radius: 16km, Skills: Python, SAP, Soft Skills: Team player, Fast learner. Looking for בניין וייצור job.",0
"Job Category: בעלי חיים, Company: TechCorp, Salary: 30 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 5612, Address: Tel Aviv, Search Radius: 13km, Skills: Java, Driving License, Soft Skills: Team player, Fast learner. Looking for הפקה ואירועים job.",0
"Job Category: בעלי חיים, Company: TechCorp, Salary: 55 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3626, Address: Tel Aviv, Search Radius: 21km, Skills: Java, Python, Soft Skills: Team player, Fast learner. Looking for בניין וייצור job.",0
"Job Category: טכנולוגיה, Company: TechCorp, Salary: 57 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 7694, Address: Tel Aviv, Search Radius: 24km, Skills: SAP, Driving License, Soft Skills: Team player, Fast learner. Looking for מסעדנות job.",0
"Job Category: שירות לקוחות, Company: TechCorp, Salary: 46 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2662, Address: Tel Aviv, Search Radius: 28km, Skills: SAP, Python, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",0
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 44 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 1679, Address: Tel Aviv, Search Radius: 24km, Skills: SAP, Java, Soft Skills: Team player, Fast learner. Looking for טכנולוגיה job.",0
"Job Category: אפסנאות ולוגיסטיקה, Company: TechCorp, Salary: 34 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 4356, Address: Tel Aviv, Search Radius: 19km, Skills: SAP, Driving License, Soft Skills: Team player, Fast learner. Looking for אפסנאות ולוגיסטיקה job.",1
"Job Category: הפקה ואירועים, Company: TechCorp, Salary: 36 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 6909, Address: Tel Aviv, Search Radius: 9km, Skills: Java, Python, Soft Skills: Team player, Fast learner. Looking for מכירות ואופנה job.",0
"Job Category: הפקה ואירועים, Company: TechCorp, Salary: 47 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 1152, Address: Tel Aviv, Search Radius: 7km, Skills: English, Excel, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",0
"Job Category: חינוך והוראה, Company: TechCorp, Salary: 74 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 3482, Address: Tel Aviv, Search Radius: 10km, Skills: Driving License, SAP, Soft Skills: Team player, Fast learner. Looking for חינוך והוראה job.",1
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 65 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2132, Address: Tel Aviv, Search Radius: 29km, Skills: English, Excel, Soft Skills: Team player, Fast learner. Looking for אבטחה וביטחון job.",1
"Job Category: אבטחה וביטחון, Company: TechCorp, Salary: 49 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2194, Address: Tel Aviv, Search Radius: 25km, Skills: Excel, SAP, Soft Skills: Team player, Fast learner. Looking for אפסנאות ולוגיסטיקה job.",0
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 34 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8213, Address: Tel Aviv, Search Radius: 24km, Skills: Java, Python, Soft Skills: Team player, Fast learner. Looking for משלוחים ותחבורה job.",1
"Job Category: עיצוב וקריאייטיב, Company: TechCorp, Salary: 62 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 1299, Address: Tel Aviv, Search Radius: 22km, Skills: Java, Driving License, Soft Skills: Team player, Fast learner. Looking for מסעדנות job.",0
"Job Category: משלוחים ותחבורה, Company: TechCorp, Salary: 60 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 2299, Address: Tel Aviv, Search Radius: 10km, Skills: Excel, SAP, Soft Skills: Team player, Fast learner. Looking for בעלי חיים job.",0
"Job Category: רפואה ורווחה, Company: TechCorp, Salary: 63 per hour, Hours: 08:00-17:00, Requirements: Experience in the field, Ability to work in shifts. Location: Tel Aviv, Contact: 050-1234567.","Candidate Details: Name: 8573, Address: Tel Aviv, Search Radius: 15km, Skills: English, Excel, Soft Skills: Team player, Fast learner. Looking for הפקה ואירועים job.",0
